AL_TCDD_Bl_adt_M_logFC	AL_TCDD_Li_adt_M_logFC	BA_BPA10mg_Bl_adt_M_logFC	BA_BPA10mg_Li_adt_M_logFC	BA_BPA10ug_Bl_adt_M_logFC	BA_BPA10ug_Li_adt_M_logFC	BI_PM2.5_Bl_adt_M_logFC	BI_PM2.5_Li_adt_M_logFC	DO_DEHP_Bl_adt_M_logFC	DO_DEHP_Li_adt_M_logFC	DO_Pb_Bl_adt_M_logFC	DO_Pb_Li_adt_M_logFC	MU_PM2.5_Bl_adt_M_logFC	MU_PM2.5_Li_adt_M_logFC	WK_TBT_Bl_adt_M_logFC	WK_TBT_Li_adt_M_logFC
chr8,10006386,10006755	0	0	-0.753506687627174	-0.590891591839792	0	-0.711947137964381	0	0	0	0	0	0	0	0	0	0
chr15,101262566,101262861	0	0	-0.649581739852757	-0.693949507901745	0	0	0	0	0	0	0	0	0	0	0	0
chr3,27584539,27585078	0	0	-0.662011272437545	-0.75883082259593	0	0	0	0	0	0	0	0	0	0	0	0
chr12,112667759,112668287	0	0	-0.609044790794719	-0.650328821646884	0	-0.848281815295866	-0.617961670287871	0	0	0	0	0	0	0	0	0
chr7,102243936,102244224	0	0	-0.665351532490838	-0.828422761121578	0	-0.757666536882313	0	0	0	0	0	0	0	0	0	0
chr15,66746403,66746796	0	0	-0.766738341640905	-0.785890238656005	0	-0.814496021309983	-0.721594865750929	0	0	0	0	0	0	0	0	0
chr1,159186828,159187257	0	0	-0.764013067623516	-0.877438875673671	0	-0.788387666839715	-0.744962996822685	0	0	0	0	0	0	0	0	0
chr13,97187660,97188088	0	0	-0.748876336480351	-0.732101630985773	0	-0.832481087272812	-0.762787589647891	0	0	0	0	0	0	0	0	0
chr7,141016821,141017255	0	0	-0.825512162180554	-0.748592948445126	0	-0.816811223575271	-0.772428162490206	0	0	0	0	0	0	0	0	0
chr1,93071455,93071803	0	0	-0.777375496185917	-0.777533909177862	0	-0.895985365863113	-0.929019332405134	0	0	0	0	0	0	0	0	0
chr5,118404355,118404806	0	0	-0.676555660067784	-0.85005141392973	0	-0.83381910147564	-0.977107891403751	0	0	0	0	0	0	0	0	0
chr14,31166085,31166551	0	0	-0.728809044451584	-1.16174284301586	0	-0.758874602200009	-0.805316178643915	0	0	0	0	0	0	0	0	0
chr10,120163534,120163856	0	0	-0.759551957267705	-1.06928662364821	0	-1.14288752554296	-1.02197250544436	0	0	0	0	0	0	0	0	0
chr1,191269554,191269951	0	0	-0.774324840898889	-0.964236269105119	0	-0.888348810527335	-0.810513573290226	0	0	0	0	0	0	0	0	0
chr6,52955365,52955643	0	0	-0.774715442603228	-0.947458869430576	0	-0.934853382532097	-0.83932604943733	0	0	0	0	0	0	0	0	0
chr18,50082972,50083292	0	0	-0.918831104621078	-1.21703397714581	0	-0.936060583607349	-0.659996166713209	0	0	0	0	0	0	0	0	0
chr9,61349721,61350047	0	0	-0.754685649625814	-0.976618472327875	0	-0.956410401183859	-0.597046523718898	0	0	0	0	0	0	0	0	0
chr18,66467877,66468190	0	0	-0.839812444696163	-1.06059850057172	0	-0.783792804429194	-0.705357056836905	0	0	0	0	0	0	0	0	0
chr9,108999158,108999422	0	0	-0.664748665564192	-1.26719851272562	0	-0.935672365625567	0	0	0	0	0	0	0	0	0	0
chr11,96765528,96766016	0	0	-0.832677392466141	-0.996773379160683	0	-0.866644016418787	0	0	0	0	0	0	0	0	0	0
chr15,38384271,38385107	0	0	-0.612630692143861	-0.936420144352357	0	-0.962807825537665	0	0	0	0	0	0	0	0	0	0
chr15,59807768,59808091	0	0	-0.763796050675343	-0.876050761497099	0	-0.609351350110474	-0.664647400803816	0	0	0	0	0	-0.667830096624902	0	0	0
chr2,156324129,156324557	0	0	-0.825932861432553	-0.915690606698866	0	-1.01166988868123	0	0	0	0	0	0	0	0	0	0
chrX,142537600,142537950	0	0	-0.901637309209704	-1.10235091391414	0	0	0	0	0	0	0	0	0	0	0	0
chr19,12585318,12585695	0	0	-0.634987437456021	-1.08589622776449	0	-0.709130028462186	-0.776078677887803	0	0	0	0	0	0	0	0	0
chr8,84192019,84192373	0	0	-0.600815231273779	-0.962189316360419	0	-0.611878030655319	-0.984993353819813	0	0	0	0	0	0	0	0	0
chr13,100183159,100183472	0	0	-1.01523305012027	-0.769452354045088	0	0	-0.661065786499652	0	0	0	0	0	0	0	0	0
chr15,64242500,64242872	0	0	-0.856549443200024	-0.604696334145525	0	-0.712030732858832	-0.753901878394218	0	0	0	0	0	0	0	0	0
chr4,149173752,149173989	0	0	-1.0313631727961	-0.640707027257616	0	-0.626503699827305	-0.780616737703157	0	0	0	0	0	0	0	0	0
chr6,125333536,125333828	0	0	-1.1069493719036	-0.820200167935996	0	-0.847712657271856	-0.788859013701753	0	0	0	0	0	0	0	0	0
chr6,40576366,40576666	0	0	-1.10773166926758	-0.727466601467748	0	-0.76207921771621	-0.873973538536852	0	0	0	0	0	0	0	0	0
chr10,10457000,10457390	0	0	-1.10744140226404	-0.629124885570973	0	-0.760181946998695	-0.638713124388182	0	0	0	0	0	0	0	0	0
chr1,74375017,74375303	0	0	-0.888952832987039	-0.596157080544218	0	-0.81279372931607	-0.843439678777438	0	0	0	0	0	0	0	0	0
chr8,69012602,69012999	0	0	-1.00725687309047	-0.737644909757957	0	-0.806441544055254	-0.948603748164374	0	0	0	0	0	0	0	0	0
chr19,34515720,34516095	0	0	-0.868601092628377	-0.676142565842561	0	0	-0.855095338239955	0	0	0	0	0	0	0	0	0
chr13,95868883,95869146	0	0	-0.85471310434937	-0.771422919646929	0	-0.688884545428939	-0.683613772465707	0	0	0	0	0	0	0	0	0
chr2,11513068,11513549	0	0	-0.777292952431891	-0.687268083611964	0	-0.667196147319689	-0.635176599437252	0	0	0	0	0	0	0	0	0
chr5,135472449,135472767	0	0	-0.591282768010042	-0.769304644572293	0	-0.732257192386648	-0.811615702715439	0	0	0	0	0	0	0	0	0
chr12,17682182,17682509	0	0	-0.649893801418226	-0.695531402235627	0	-0.723075414824291	-0.820466006556285	0	0	0	0	0	0	0	0	0
chr15,27664034,27664456	0	0	-0.66338535251784	-0.697900733979863	0	-0.661981285675836	-0.704031261062159	0	0	0	0	0	0	0	0	0
chr3,121597239,121597533	0	0	-0.891053143617962	-0.83167618826744	0	0	-0.78998775230038	0	0	0	0	0	0	0	0	0
chr4,8888364,8888697	0	0	-0.938719200707708	-0.818478541414181	0	0	-0.869104322729139	0	0	0	0	0	0	0	0	0
chr2,101781298,101781659	0	0	-0.931866429986017	-0.827571946202973	0	-0.729737936111987	-0.861438201359694	0	0	0	0	0	0	0	0	0
chr17,71299927,71300235	0	0	-0.747382853013355	-0.695252669200127	0	-0.902386233486159	-0.983265848427251	0	0	0	0	0	0	0	0	0
chr2,129546734,129547189	0	0	-0.796851654266521	-0.942673427950784	0	-0.851096099965043	-0.852666864452881	0	0	0	0	0	0	0	0	0
chr4,126024447,126024861	0	0	-0.639153587009705	-0.711427009902036	0	0	-0.757742772525404	0	0	0	0	0	0	0	0	0
chr2,60901457,60901948	0	0	-0.700097237432702	-0.842396308475	0	-0.752629143653396	-0.818763575679105	0	0	0	0	0	0	0	0	0
chr3,122290792,122291038	0	0	-0.757553232592436	-0.823367782772716	0	-0.803549344762771	-0.68556458852598	0	0	0	0	0	0	0	0	0
chr1,128722053,128722476	0	0	-0.913444098212494	-0.713455046526491	0	0	-0.911506125311399	0	0	0	0	0	0	0	0	0
chr1,182908349,182908874	0	0	-0.590301967909822	-0.610309582723448	0	-0.717652983061314	-0.806460667037062	0	0	0	0	0	0	0	0	0
chr7,127008370,127009077	0	0	-0.708928816269634	-0.633623619183076	0	0	-0.842952464276776	0	0	0	0	0	-0.591817085841681	0	0	0
chr12,111437597,111438000	0	0	-0.592860926615234	-0.61699973768134	0	-0.60180418677839	-1.00114140838584	0	0	0	0	0	0	0	0	0
chr8,86888013,86888585	0	0	-0.641686653015628	-0.675503546332949	0	-0.772289816316848	-1.05709611659918	0	0	0	0	0	0	0	0	0
chr10,77266239,77266615	0	0	-0.819999297511259	-0.597895940712686	0	-0.802372573682541	-0.792037180478733	0	0	0	0	0	0	0	0	0
chr11,34072157,34072685	0	0	-0.881967040991209	-0.679861798990504	0	-0.986252021333009	-0.704572589552359	0	0	0	0	0	0	0	0	0
chr5,139287135,139287427	0	0	-0.770572437013253	-0.676399999264702	0	-0.916973048645844	-0.73350839187089	0	0	0	0	0	0	0	0	0
chr12,85348331,85348722	0	0	-0.706353766640884	-0.720310128177299	0	-0.737122490531036	-0.647445874462691	0	0	0	0	0	0	0	0	0
chr9,109914293,109914583	0	0	-0.695563253130714	-0.863062019402607	0	-0.697034092616204	-0.63144725374993	0	0	0	0	0	0	0	0	0
chr2,3664159,3664501	0	0	-0.819871898918041	-0.783860888972566	0	0	-0.906805712932817	0	0	0	0	0	0	0	0	0
chr5,149274833,149275133	0	0	-0.710153530913171	-0.668755272728824	0	-0.641750870949667	-0.981683294158748	0	0	0	0	0	0	0	0	0
chr5,4530123,4531236	0	0	-0.65125325161843	-0.785223202008423	0	-0.718848674780422	-1.09628827550158	0	0	0	0	0	0	0	0	0
chr17,26497392,26497988	0	0	-0.623793199243052	-0.891528211065662	0	-0.69917270679894	-1.04805789024689	0	0	0	0	0	0	0	0	0
chr8,121792133,121792545	0	0	-0.593589126425744	-0.696413723958359	0	0	-1.0070403108888	0	0	0	0	0	0	0	0	0
chr14,103058977,103059346	0	0	-0.664343040490665	-0.818091150039572	0	-0.697108883357425	-1.36684303631898	0	0	0	0	0	0	0	0	0
chr1,92972930,92973228	0	0	-0.640459860386779	-0.757381475130862	0	-0.797917936708846	-1.32810643706789	0	0	0	0	0	0	0	0	0
chr2,31052487,31052819	0	0	-0.783955093360395	-0.739282361658023	0	-0.731255573711597	-1.09490473339358	0	0	0	0	0	0	0	0	0
chr3,8969616,8969877	0	0	-0.765591124650368	-0.986200459485105	0	-0.664603688895207	-1.25079555293172	0	0	0	0	0	0	0	0	0
chr15,85233314,85233597	0	0	0.611402446406845	-0.592056422169987	0	0	0	0	0	0	0	0	0	-0.652356594577852	0	0
chr5,124614645,124615045	0	0	0.760259594601081	-1.11316250776104	0	-0.813054654876383	0	-0.697818896184128	0	0	0	0	0	0	0	0
chr1,60016114,60016687	0	0.848030055239499	0.749401547381731	-0.868424264621263	0.645562408711198	-0.669517692617538	0	0	0	0	0	0	0	0	0	0
chr8,25447987,25448262	0	0	0.728621271557611	-0.799118432856372	0.657235232300323	0	0	0	0	0	0	0	0	0	0	0
chr16,95303721,95304179	0	0	0.7219640921328	-0.840625474945565	0.717563421016728	-0.651031546095229	0	0	0	0	0	0	0	0	0	0
chr11,78771955,78772252	0	0	0.719570285984772	-0.912588822859354	0	0	0	0	0	0	0	0	0	0	0	0
chr5,143654738,143655212	0	0	0.677191157876791	-0.656427938447741	0	-0.903245596367151	0	0	0	0	0	0	0	0	0	0
chr15,81035562,81036096	0	0	0.621377649196751	-0.659698300224878	0.659793601654163	-0.791049019816347	0	0	0	0	0	0	0	0	0	0
chr17,17448702,17449205	0	0	1.05374927839095	-0.620840268205812	0.762266801117918	-0.861433208380778	0	0	0	0	0	0	0	0	0	0
chr18,69570217,69570756	0	0	0.616493851771665	-0.62264105639445	0	-0.824325855321362	0	0	0	0	0	0	0	0	0	0
chr5,139220522,139220942	0	0	0.638661452691731	-0.71601791444962	0.944057470512294	-0.775427682059822	0	0	0	0	0	0	0	0	0	0
chr8,105727350,105727947	0	0	0.612208953220962	-0.893097993690759	0.705478241223256	-0.819791006512483	0	0	0	0	0	0	0	0	0	0
chr13,108153052,108153299	0	0	-0.606839025909732	0.711863415581076	0	0.627191938131942	0	0	0	0	0	0	0	0	0	0
chr10,122886190,122886899	0	0	1.28378841769925	1.01602289435635	1.10520018342547	0	0	0	0	0	0	0	0	0	0	0
chr9,88746780,88746998	0	0	0.631633855896865	0.749654477864981	0	0	0	0	0	0	0	0	0	0	0	0
chr14,32482150,32482387	0	0	0	0	-0.673114712652262	0.596119369071722	0	0	0	0	0	0	0	0	0	0
chr13,69655482,69655758	0	0	0	0	-1.11183256101675	0.586196445015419	0	0	0	0	0	0	0	0	0	0
chr12,113981695,113981933	0	0	0	0	-0.688769256906394	0.639786667098508	0	0	0	0	0	0	0	0	0	0
chr17,45403298,45403527	0	0	0	0	-0.746365695829196	0.685220112207597	0	0	0	0	0	0	0	0	0	0
chr12,110398492,110398711	0	0	0	0	-0.961838200036414	0.659230005316775	0	0	0	0	0	0	0	0	0	0
chr13,108390633,108390885	0	0	0	0	-0.652090456764473	0.587884308520224	0	0	0	0	0	0	0	0	0	0
chr1,119675045,119675291	0	0	0	0	-0.7920347370574	0.690689999607185	0	0	0	0	0	0	0	0	0	-0.664009322553895
chr16,91081538,91081767	0	0	0	0	-0.683065287271335	0.66235097314426	0	0	0	0	0	0	0	0	0	0
chr7,75913996,75914241	0	0	0	0	-0.673251926598994	0.802370739023002	0	0	0	0	0	0	0	0	0	0
chr12,40082550,40082762	0	0	0	0	-0.899152940739291	0.873565342747356	0	0	0	0	0	0	0	0	0	0
chr7,121975138,121975340	0	0	0	0	-0.738696097799934	1.01318461723137	0	0	0	0	0	0	0	0	0	0
chr13,74341107,74341419	0	0	0	0	-0.626427783365166	0.611088544501411	0	0	0	0	0	0	0	0	0	0
chr14,100235760,100236100	0	0	0	0	-0.649755353168225	0.659250151530299	0	0	0	0	0	0	0	0	0	0
chr4,70451817,70452563	0	0	0	0	-0.587022600314067	0.630981578500001	0	0	0	0	0	0	0	0	0	0
chr14,70609684,70609912	0	0	0	0.685323452264916	-0.606927981200142	0.785841576721293	0	0	0	0	0	0	0	0	0	0
chr15,83483585,83483809	0	0	-0.612227221914582	0	-0.595124702282924	0.747984010523927	0	0	0	0	0	0	0	0	0	0
chr2,155848337,155848601	0	0	0	0	-0.719481050594757	0.654554215970367	0	0	0	0	0	0	0	0	0	0
chr14,31596504,31596783	0	0	0	0	-0.816108548993615	-0.773986662091647	0	0	0	0	0	0	0	0	0	0
chr3,105046830,105047267.1	0	0	-1.09966655065986	-0.796882899204693	-0.676453526736703	-0.765163129208753	-0.81343159702665	0	0	0	0	0	0	0	0	0
chr5,99214506,99214896.1	0	0	-0.867507339336836	-0.663096323723331	-0.613433250940231	-0.676921624416487	-0.677946006449168	0	0	0	0	0	0	0	0	0
chr13,112365873,112366125.1	0	0	-0.931992418163517	-1.03208582717853	-0.79604933742207	-0.738308880205587	0	0	0	0	0	0	0	0	0	0
chr2,145821994,145822346.1	0	0	-1.18227523839648	-0.743192157708255	-0.874015662627607	-0.792348784747217	0	0	0	0	0	0	0	0	0	0
chr11,80168635,80168887	0	0	0	0	-0.867529165746889	-0.707748833275557	-0.756448628907817	0	0	0	0	0	0	0	0	0
chr11,95729003,95729458	0	0	0	0	-0.637412793554478	-0.87441565998357	0	0	0	0	0	0	0	0	0	0
chr17,28247627,28247928	0	0	-0.67259368619399	0	-0.634883473485339	-0.621484260156899	0	0	0	0	0	0	0	0	0	0
chr11,119925218,119925570.1	0	0	-0.616973501394019	-1.01230619936598	-0.59363926467701	-1.01498747086878	-0.916480780626504	0	0	0	0	0	0	0	0	0
chr5,53402770,53403146.1	0	0	-0.737596769924165	-0.704396833506656	-0.609813528882437	-0.968795638913423	-0.727275874163325	0	0	0	0	0	0	0	0	0
chrX,77580022,77580327	0	0	0	-0.909438170873379	-0.692238839236289	-0.864990218582595	0.61244655587111	0	0	0	0	0	0	0	0.629218541772253	0
chr16,87324564,87324926	0	0	0	-1.13470041134052	-0.617409598297884	-0.804086937672611	0.689716505321812	0	0	0	0	0	0	0	0	0
chr12,104057027,104057483	0	0	0	-0.794152775676513	-0.65120736542871	-0.689028187362829	0	0	0	0	0	0	0	0	0	0
chr7,75787450,75787741	0	0	0	-0.787384301488047	-0.75546497937467	-0.703205170851161	0	0	0	0	0	0	0	0	0	0
chr5,9015400,9015736.1	0	0	-0.683967701771798	-0.915887284701769	-0.657782019700734	-0.72014728179236	0	0	0	0	0	0	0	0	0	0
chr15,78835162,78835660	0	0	0	-0.933583994153148	-0.763833527754173	-1.02541800678625	0	0	0	0	0	0	0	0	0	0
chr3,52198011,52198331	0	0	0	-0.951013722672372	-0.593900984951779	-0.91464535540022	0	0	0	0	0	0	0	0	0	0
chr11,100588460,100588836	0	0	0	-0.598686832176134	-0.63624003467155	-0.961788967793367	0	0	0	0	0	0	0	0	0	0
chr9,62510546,62510891	0	0	0	0	-0.664946943280186	-0.908861848218436	0	0	0	0	0	0	0	0	0	0
chr12,84762559,84762901	0	0	0	0	-0.648390980563271	-0.602251528794325	0	0	0	0	0	0	0	0	0	0
chr5,122994492,122994777	0	0	0	0	-0.625498375235679	-0.719307722693337	0	0	0	0	0	0	0	0	0	0
chr10,41530016,41530338	0	0	0	0	-0.916422487649359	-0.638816872925437	0	0	0	0	0	0	0	0	0	0
chr15,54920066,54920311	0	0	0	0	-1.09424209528184	-0.743382810051006	0	0	0	0	0	0	0	0	0	0
chr1,39469073,39469329	0	0	0	0	0.728122943804259	-0.613435712749041	-0.842306951768864	0	0	0	0	0	0	0	0	0
chr4,88438824,88439087	0	0	-0.957392244866376	0	0.591472648292811	-0.788096568034015	0	0	0	0	0	0	0	0	0	0
chr15,25287911,25288234	0	0	0	-0.59772793070535	0.64541820641396	-0.892566132119612	0	0	0	0	0	0	0	0	0	0
chr2,126618567,126619531	0	0	0	-0.665304356857615	0.633201025555957	-0.676453622411195	-0.690631214479592	0	0	0	0	0	0	0	0	0
chr18,80224326,80224636	0	0	0	-0.595624683463162	0.597123752932476	-0.58728846714096	0	0	0	0	0	0	0	0	0	0
chr2,46443133,46443612	0	0	0	0	0.608565388602512	-0.918956023885839	0	0	0	0	0	0	0	0	0	0
chr15,7136975,7137227	0	0	0	0	0.589553913322355	-0.731133670076259	0	0	0	0	0	0	0	0	0	0
chr4,134762427,134762725	0	0	0	0	0.604247657973497	-0.650877984986284	0	0	0	0	0	0	0	0	0	0
chr11,46666170,46666557	0	0	0	0	0.733401101107809	0.610455060470805	0	0	0	0	0	0	0	0	0	0
chr1,165320465,165320872	0	0	0	0	0.73630680625623	0.657439822515224	0	0	0	0	0	0	0	0	0	0
chr6,122491680,122491942	0	0	0	0	0.80694361131395	0.66951594556051	0	0	0	0	0	0	0	0	0	0
chr15,74931664,74931930	0	0	0	-1.01349780096397	0.650230138681807	-0.682346748577702	0	0	0	0	0	0	0	0	0	0
chr5,64410619,64411035	0	0	0	-1.30509333430758	0.613510466251717	-0.754100496988359	0	0	0	0	0	0	0	0	0	0
chr1,60652649,60653030	0	0	0	-0.69214208615798	0.640237626744599	-0.913637851466627	0	0	0	0	0	0	0	0	0	0
chr19,3923664,3923989	0	0	0	-0.698308589368228	0.836022311399065	-0.677177777821197	0	0	0	0	0	0	0	0	0	0
chr15,81035562,81036096.1	0	0	0.621377649196751	-0.659698300224878	0.659793601654163	-0.791049019816347	0	0	0	0	0	0	0	0	0	0
chr17,17448702,17449205.1	0	0	1.05374927839095	-0.620840268205812	0.762266801117918	-0.861433208380778	0	0	0	0	0	0	0	0	0	0
chr16,58476382,58476765	0	0	0	-0.839417308643921	0.605214566649968	-0.743713438517018	0	0	0	0	0	0	0	0	0	0
chr2,131127186,131127691	0	0	0	-0.623131247670685	0.607924221357856	-0.592487465430703	0	0	0	0	0	0	0	0	0	0
chr5,139220522,139220942.1	0	0	0.638661452691731	-0.71601791444962	0.944057470512294	-0.775427682059822	0	0	0	0	0	0	0	0	0	0
chr8,105727350,105727947.1	0	0	0.612208953220962	-0.893097993690759	0.705478241223256	-0.819791006512483	0	0	0	0	0	0	0	0	0	0
chrX,152172499,152172850	0	0	0.843542117157934	0	0.877677760992165	-0.667807638405164	0	0	0	0	0	0	0	0	0	0
chr15,84981902,84982158	0	0	0.60888330956523	0	0.677900508098827	-0.641665523503535	0	0	0	0	0	0	0	0	0	0
chr5,122760874,122761252	0	0	0	0	0.811133950700176	-0.669211309863306	0	0	0	0	0	0	0	0	0	-0.613966313520299
chr1,60016114,60016687.1	0	0.848030055239499	0.749401547381731	-0.868424264621263	0.645562408711198	-0.669517692617538	0	0	0	0	0	0	0	0	0	0
chr16,95303721,95304179.1	0	0	0.7219640921328	-0.840625474945565	0.717563421016728	-0.651031546095229	0	0	0	0	0	0	0	0	0	0
chr17,30131859,30132196	0	0	0.7872004621902	0	0.830980998725446	-0.676871578046338	0	0	0	0	0	0	0	0	0	0
chr17,28513871,28514186	0	0.717129949007692	0.709415752856945	0	0.971789734069065	-0.67420106147282	0	0	0	0	0	0	0	0	0	0
chr11,75636627,75636856	0	0	0	-0.765173291428026	0.598358676360165	-0.909463166271128	0	0	0	0	0	0	0	0	0	0
chr15,79751853,79752142	0	0	0	-0.627812962180804	0.635639914439496	-0.609122076578815	0	0	0	0	0	0	0	0	0	0
chr5,123025086,123025539	0	0	0	-0.745248663767606	0.658901929028148	-0.637944690613898	0	0	0	0	0	0	0	0	0	0
chr11,11886464,11886751	0	0	0	0	0.58642701664928	-0.793395833629851	0	0	0	0	0	0	0	0	0	0
chr19,21174096,21174453	0	0	0	0	0.641643277674823	-0.808182587977452	0	0	0	0	0	0	0	0	0	0
chr4,53269954,53270357	0	0	0	0	0.694880223867623	-0.614352392944921	0	0	0	0	0	0	0	0	0	0
chr19,34588185,34588659	0	0	0	-0.73811882866974	0.589351861397871	-0.833309835224697	0	0	0	0	0	0	0	0	0	0
chr19,58818710,58819341	0	0	0	-0.721436568614514	0.666616253521448	-1.1290827871015	0	0	0	0	0	0	0	0	0	0
chrX,75874880,75875376	0	0	0	0	0.626118298293425	-0.658102125677189	0	0	0	0	0	0	0	0	0	0
chr1,184771078,184771931	0	0	0	0	0.623434923108061	-0.77698442405895	0	0	0	0	0	0	0	0	0	0
chr12,75307972,75308984	0	0	0	-0.670154058125374	0.833917399217773	-0.73958474154549	0	0	0	0	0	0	0	0	0	0
chr2,93162728,93163150	0	0	0	0	0.634469977025642	-0.694887528973865	0	0	0	0	0	0	0	0	0	0
chr9,115489077,115489736	0	0	0	-0.656890607158116	0.690099375462406	-0.726341404398008	0	0	0	0	0	0	0	0	0	0
chr17,45618903,45619738	0	0	0	-0.901130710364204	0.754669741690406	-0.958000060853402	0	0	0	0	0	0	0	0	0	0
chr4,135911490,135911993	0	0	0	-0.762286941242546	0.593974448272621	-0.988398441330595	0	0	0	0	0	0	0	0	0	0
chr15,27724326,27724897	0	0	0	0	0	0	0.684300171592073	-0.621826439739688	0	0	0	0	0	0	0	0
chr16,84971983,84972424	0	0	0	-0.746677355843405	0	-0.701034196090764	0.958910896085859	-0.598832071010504	0	0	0	0	0	0	0	0
chr11,96468150,96468652	0	0	0	-0.860859858470831	0	-0.91754284886454	0.634724448278346	-0.841649754631275	0	0	0	0	0	0	0	0
chr16,97310462,97310784	0	0	0	-0.858381986059161	0	-0.821281533811358	0.769516450359528	-0.829521256460929	0	0	0	0	0	0	0	0
chr15,69079508,69079932	0	0	0	0	0	0	0.663198970920783	-0.72241626983712	0	0	0	0	0	0	0	0
chr15,55864460,55864805	0	0	0	0	0	-0.624173094077377	0.633225622343338	-0.640520460927253	0	0	0	0	0	0	0	0
chr18,12470379,12470816	0	0	0	0	0	0	0.729522632596184	-0.694456506017904	0	0	0	0	0	0	0	0
chr6,15626044,15626479	0	0	0	0	0	-0.855448260708557	0.679351349277141	-0.673179398605924	0	0	0	0	0	0	0	0
chr6,4923837,4924184	0	0	-0.690651045410498	0	0	0	1.42190822710314	-0.834386657191598	0	0	0	0	0	-0.678309657157329	0	-1.13596807867731
chrY,90811217,90813130	0.747061724920993	0	0	-0.832873994478713	0	0	1.73958811800125	-0.922968468801413	0	0	0	0	0	0	0	-0.91040827635596
chr4,156356746,156357324	0	0	0	-1.25924188029792	0	0	1.64705644529599	-0.727084577618456	0	0	0	0	0	0	0	0
chr8,125779007,125779256	0	0	0	-1.00582720034002	0	0	0.644738883039141	-0.745781068576667	0	0	0	0	0	0	0	0
chr11,54139968,54140715	0	0	0	-0.662100588568743	0	0	0.694202044350332	-0.617133876097437	0	0	0	0	0	0	0	0
chr1,183299095,183299630	0	0	0	0	0	0	0.666178829329004	-0.614769317690775	0	0	0	0	0	-0.835711430841226	0	-0.655425514729544
chr3,131111961,131112574	0	0	0	0	0	0	0.595014595071148	-0.585371701536054	0	0	0	0	0	0	0	0
chr1,58613882,58614094	0	0	0	0	0	0	0.774411325146215	-0.638062664532637	0	0	0	0	0	0	0	0
chr6,134876865,134877101	0	0	0	-0.724855683889916	0	0	0.7816259171372	-0.759195485548111	0	0	0	0	0	0	0	0
chr1,39578420,39578693	0	0	-0.687417176078712	0	0	0	-1.21357849018589	0.591488608109652	0	0	0	0	0	0	0	0
chr17,87405601,87405964	0	0	0	-0.658193942629147	0	0	-0.92911758210172	-0.626164258068097	0	0	0	0	0	0	0	0
chr14,62808676,62809001	0	0	0	-0.668376876151265	0	-0.930001670120163	-0.95750699970825	-0.86761497072608	0	0	0	0	0	0	0	0
chr9,41070752,41071219	0	0	0	0	0	-0.711650254231239	-0.618771274152649	-0.721008577786661	0	0	0	0	0	0	0	0
chr9,73089514,73089966	0	0	0	-0.667619614939393	0	-0.608402634413748	-0.951210529253916	-0.710232521491879	0	0	0	0	0	0	0	0
chr8,25090990,25091394	0	0	0	0	0	-0.773250313003671	-0.685416806959564	-0.750906036564752	0	0	0	0	0	0	0	0
chr15,57761258,57761622	0	0	0	0	0	-0.668466457288276	-0.665731328969444	-0.74668027539726	0	0	0	0	0	0	0	0
chr16,90994985,90995464	0	0	0	-0.606216963118048	0	-0.637205310302557	-0.622773090883741	-0.623241603648721	0	0	0	0	0	0	0	0
chr2,157063391,157063774	0	0	0	-1.02846549324464	0	0	-0.64058205313771	-0.600860798357843	0	0	0	0	0	0	0	0
chr11,103281773,103282142	0	0	0	-1.00273150410504	0	-0.658324588772458	-0.836500193162364	-0.606120334610112	0	0	0	0	0	0	0	0
chr12,98375296,98375881	0	0	0	-0.643881974996332	0	-0.78208867261424	-0.61706871195817	-0.610284092147278	0	0	0	0	0	0	0	0
chr2,26744327,26744677	0	0	0	0	0	-0.837408812564298	-0.595641971001243	-0.597470275097409	0	0	0	0	0	0	0	0
chr10,77964058,77964415	0	0	0	-0.812836480060723	0	-0.934323494024175	-0.969020827411346	-0.612077573254063	0	0	0	0	0	0	0	0
chr4,132247522,132247916	0	0	0	-0.63486187873002	0	-0.692332125111754	-0.671484287045103	-0.675677089930474	0	0	0	0	0	0	0	0
chr11,68502852,68503350	0	0	0	0	0	-0.619516371313231	-0.985885056907708	-0.589805939625329	0	0	0	0	0	0	0	0
chr7,135655193,135655538	0	0	0	0	0	-0.608394066656346	-0.87822214413861	-0.586702120667135	0	0	0	0	0	0	0	0
chrY,90807485,90807843	0.693534072721478	0	0	0	0	0	-0.682467934031168	-0.848628131123993	0	0	0	0	0	0	0	0
chr19,36925606,36926612	0	0	0	0	0	0	-0.635017515107643	-0.669651958479054	0	0	0	0	0	0	0	0
chr19,37375715,37376661	0	0	0	0	0	0	-0.598201026832156	-0.604121393586344	0	0	0	0	0	0	0	0
chr18,84103414,84103694	0	0	0	0	0	0	0.641930065858514	-0.611119332963741	0	0	0	0	0	0	0	0
chr4,3052911,3053170	0	0	0	0	0.657278187361179	0	0.595326463459864	-0.600747391007029	0	0	0	0	0	0	0	-0.775499660844016
chr4,3067712,3068100	0	0	0	0	0	0	0.650016360643176	-0.641940640388357	0	0	0	0	0	-1.21706141766946	0	-0.833134229425179
chr1,21333360,21334067	0	0	0	0	0	0	0.598936218985147	0.66735356940219	0	0	0	0	0	-0.686951532419273	0	0
chr5,134378869,134379171	0	0	0	0	0	0	1.00444567626169	-0.608636446384467	0	0	0	0	0	0	0	0
